file;name;title;actor;bio;color;image;frase
alba;;;;;#6C9DA0;/assets/portraits/alba.png;
alejandro;;;;;#BA2362;/assets/portraits/alejandro.png;
alvaro;;;Alvaro del Ser;;#BA5923;/assets/portraits/alvaro.png;
ana;;;Ana Yruela;;#6C9DA0;/assets/portraits/ana.png;
andrea;;;;;#6C9DA0;/assets/portraits/andrea.png;
angie;;;;;#EDCC4F;/assets/portraits/angie.png;
anita;;;;;#BA2362;/assets/portraits/anita.png;
caceres;;;Javier Cáceres;;#BA2362;/assets/portraits/caceres.png;
candela;Candela Valverde;;Candela Sastre ;;#BA2362;/assets/portraits/candela.png;
carlosb;;;Carlos Belda;;#BA5923;/assets/portraits/carlosb.png;
carlosc;;;;;#761212;/assets/portraits/carlosc.png;
carlota;Carlota Montiel;;Carlota Cruz;;#BA5923;/assets/portraits/carlota.png;
carlotag;;;Carlota G Serrano;;;/assets/portraits/carlotag.png;
carmen;;;;;#761212;/assets/portraits/carmen.png;
celia;;;;;#EDCC4F;/assets/portraits/celia.png;
ceskary;;;;;#761212;/assets/portraits/ceskary.png;
clara;;;;;#761212;/assets/portraits/clara.png;
dani;;;;;#EDCC4F;/assets/portraits/dani.png;
esther;;;Esther Geijo;;#BA2362;/assets/portraits/esther.png;
guillee;;;;;#BA5923;/assets/portraits/guillee.png;
guillev;;;Guille Vance;;#EDCC4F;/assets/portraits/guillev.png;
henar;;;;;#6C9DA0;/assets/portraits/henar.png;
irene;;;Irene Zulaica;;#761212;/assets/portraits/irene.png;
jorge;;;;;#BA5923;/assets/portraits/jorge.png;
juanma;;;;;#6C9DA0;/assets/portraits/juanma.png;
lander;;;;;#BA5923;/assets/portraits/lander.png;
lena;;;Lena Calvo ;;#761212;/assets/portraits/lena.png;
manub;;;;;#BA2362;/assets/portraits/manub.png;
manur;;;;;#EDCC4F;/assets/portraits/manur.png;
maria;;;;;#761212;/assets/portraits/maria.png;
martam;;;Marta Monsalvete;;#6C9DA0;/assets/portraits/martam.png;
martap;;;Marta Puchol;;#761212;/assets/portraits/martap.png;
mateo;;;;;#BA5923;/assets/portraits/mateo.png;
nagore;;;;;#EDCC4F;/assets/portraits/nagore.png;
nati;Nati Montiel;;Natalia Cruz;;#761212;/assets/portraits/nati.png;
pablo;;;;;#BA5923;/assets/portraits/pablo.png;
patri;;;Patricia Cacharrón;;#BA2362;/assets/portraits/patri.png;
rafa;;;;;#EDCC4F;/assets/portraits/rafa.png;
roberto;;;Roberto Borrega;;#6C9DA0;/assets/portraits/roberto.png;